# lat lon vals
32.41231 -12.96616 0.01666
34.35224 -15.55410 0.02570
35.93830 -22.38522 0.02206
30.35592 -16.84614 0.02020
29.98475 -12.52065 0.01454
32.93642 -18.33715 0.02574
34.15898 -19.20427 0.01791
35.10980 -13.03031 0.03171
31.96364 -15.74362 0.02624
25.93309 -23.58316 0.02157
35.98167 -14.57609 0.02342
32.86115 -17.78558 0.02727
29.44924 -21.16131 0.02019
34.08743 -17.54320 0.02304
26.08629 -11.26328 0.34950
31.76113 -15.60127 0.01848
41.40830 6.88030 0.02968
42.84632 10.09174 0.02893
46.40155 19.86461 0.01125
40.54645 8.35473 0.01909
40.72617 10.43671 0.02188
42.73424 8.90340 0.01989
47.55581 -1.40079 0.03137
38.46233 5.73414 0.01470
38.45603 10.35026 0.02712
42.19703 4.87353 0.02380
43.88064 4.14247 0.01462
42.66461 10.71148 0.02559
40.59308 8.04554 0.02794
44.58720 15.78984 0.01816
43.58345 9.87680 0.02497
41.95218 5.74079 0.02937
46.93985 19.47787 0.02561
46.50447 17.43238 0.01343
43.12546 6.70330 0.02906
33.93250 10.55505 0.00850
40.35194 8.10817 0.01964
39.45096 -1.39703 0.02298
41.39898 -3.49006 0.02586
37.27033 -5.53426 0.01977
37.02753 -1.05434 0.01853
40.44600 -6.80478 0.01906
41.81602 -7.59729 0.03266
41.61847 -1.43857 0.02316
39.19276 -3.93076 0.02113
45.25172 6.03295 0.01628
42.47119 -2.58566 0.02176
40.30259 -6.11842 0.02676
35.27357 -13.37128 0.04082
41.47090 -5.56019 0.02229
32.33837 -0.00231 0.06299
38.96424 -3.81769 0.03185
42.43515 8.83530 0.01535
44.44999 7.15409 0.01931
48.61807 -2.53787 0.02133
40.04975 3.98054 0.01831
40.00580 8.85110 0.01525
43.84489 3.13895 0.01266
45.43450 2.45966 0.01607
44.41313 9.02929 0.01660
42.28285 6.32903 0.02197
46.40246 14.29062 0.01286
45.29671 8.12401 0.03486
43.62010 3.98913 0.02988
48.75206 17.98911 0.04671
48.28598 15.84340 0.02515
44.78070 4.93857 0.03242
52.24657 -0.27026 0.04591
34.90299 9.26341 0.03135
42.03274 6.40084 0.06243
47.34678 -5.53232 0.01972
49.13749 -2.31113 0.01611
42.29804 -12.97841 0.02717
46.44537 -6.74501 0.01668
46.51802 -3.74635 0.01342
46.81637 -1.04651 0.05717
48.85015 -3.64843 0.02392
51.00694 -11.62987 0.02319
44.03426 -6.15784 0.04709
43.66750 -0.20997 0.03014
47.89233 -7.40276 0.02238
49.18690 -8.08453 0.01905
49.03221 -1.41998 0.02415
46.54202 -4.08526 0.02458
51.86415 5.30415 0.02371
49.78128 -2.74083 0.03721
47.75083 -6.63360 0.03308
53.97592 6.62669 0.01624
48.90078 -5.91846 0.04742
53.73503 -10.44037 0.03749
46.26347 -3.94069 0.02435
54.87685 14.12339 0.01631
57.26388 11.91183 0.01768
60.65082 1.84798 0.02194
50.59081 5.35206 0.04249
50.72580 14.22811 0.02654
66.55546 6.26592 0.01450
60.95950 21.44804 0.03441
56.72904 6.16239 0.01564
58.28152 6.07632 0.02216
57.11720 14.25067 0.02165
54.72625 10.37300 0.01961
58.35044 19.41453 0.02721
57.94067 13.13571 0.01731
56.46434 7.29670 0.01905
59.60333 21.81505 0.01959
64.91327 13.06485 0.02006
59.45099 20.16728 0.02437
57.64311 9.08340 0.01994
62.34995 6.03709 0.01395
54.34015 10.41908 0.02916
36.14858 -6.92365 0.02109
38.08380 -4.12718 0.01711
32.81495 -11.39974 0.01499
35.40580 -7.76911 0.01773
35.45890 -5.51392 0.01690
35.77960 -3.34697 0.01681
37.72259 -5.37250 0.01777
40.53506 -13.38099 0.01826
33.77328 -7.15806 0.02271
33.53836 -3.10067 0.01259
36.68808 -8.48312 0.01178
38.07736 -9.33849 0.01755
38.02508 -3.29937 0.01302
35.49931 -5.76960 0.01535
38.93842 -4.45124 0.02652
36.55457 -7.84050 0.01885
32.22723 -13.60638 0.02199
37.75356 -7.38446 0.02705
29.65473 -2.25238 0.04937
35.28768 -5.65952 0.10007
45.31968 9.47695 0.01481
47.37841 7.68084 0.02319
51.22528 -1.85110 0.02028
42.66267 4.08486 0.01351
42.62742 9.54838 0.01742
46.78064 3.42608 0.01811
48.33091 2.84858 0.02156
47.32626 9.62617 0.02072
45.16584 6.77492 0.02214
49.12417 14.77939 0.01469
39.46074 -1.12994 0.02685
41.40985 -3.20674 0.03648
44.19068 -11.31360 0.03136
37.28149 -5.27060 0.03247
37.04425 -0.79887 0.01935
40.46565 -6.53312 0.02400
41.84209 -7.32509 0.02274
41.62174 -1.16284 0.01651
39.20585 -3.65614 0.02058
45.20428 6.23600 0.03023
42.47685 -2.30109 0.02992
40.32033 -5.84384 0.03738
35.26004 -13.19376 0.04156
41.48896 -5.27848 0.01738
38.97726 -3.54431 0.04371
39.20653 -24.14878 0.01930
40.97723 -28.96015 0.02269
41.00347 -34.83716 0.02157
36.39917 -29.54710 0.03054
35.34810 -21.73680 0.01717
39.22059 -31.71833 0.03080
40.17038 -32.59164 0.02823
42.29171 -25.66587 0.02030
38.42600 -28.53009 0.02631
31.93856 -35.70459 0.01446
42.64422 -28.14727 0.01339
39.20633 -31.16059 0.02739
35.61473 -33.85845 0.01713
40.36565 -31.09193 0.02452
43.74896 -35.67651 0.02484
38.18180 -28.24948 0.02165
39.52615 -0.35222 0.01878
41.47862 -2.38473 0.02342
44.37838 -10.61440 0.02788
37.34816 -4.50840 0.01889
37.12654 -0.05263 0.02499
40.56010 -5.74745 0.01799
41.95486 -6.53714 0.02987
41.66856 -0.36177 0.03153
39.28071 -2.85947 0.02800
45.10324 6.82705 0.01508
36.68636 -19.62954 0.01858
38.53581 -23.32141 0.01826
39.09306 -29.43114 0.02028
34.24097 -24.26427 0.01913
33.55102 -18.29789 0.02650
36.93357 -26.07617 0.02972
37.97220 -26.92099 0.02621
39.58775 -20.39118 0.02209
36.07154 -23.19710 0.02604
29.79812 -30.60914 0.03876
40.16814 -22.43314 0.01832
36.89585 -25.52866 0.03105
33.39768 -28.50651 0.02588
38.06982 -25.37732 0.02779
42.47034 -30.39539 0.01421
35.84672 -22.98650 0.01776
42.87064 0.10903 0.03190
44.50013 3.21680 0.02968
38.22895 -7.47121 0.02932
42.05001 -1.10313 0.01573
42.06009 1.65123 0.02763
42.29929 3.91529 0.01841
44.28900 1.98004 0.02433
47.57515 -6.78670 0.01419
39.94194 -0.67764 0.02400
39.78475 4.14696 0.01578
43.51093 -1.72958 0.02612
44.96704 -2.44546 0.01944
44.36177 3.95198 0.02120
42.09693 1.34652 0.02890
46.90147 9.99531 0.01698
45.21271 2.91400 0.03369
43.32996 -0.95577 0.02695
49.13336 11.74877 0.02937
44.48801 -0.18454 0.02961
51.17236 -5.39132 0.03474
41.85070 1.44240 0.09176
40.57752 1.83245 0.53126
39.45096 -1.39703 0.02243
41.39898 -3.49006 0.02798
37.27033 -5.53426 0.02050
37.02753 -1.05434 0.02020
40.44600 -6.80478 0.01632
41.81602 -7.59729 0.02446
41.61847 -1.43857 0.02415
39.19276 -3.93076 0.02194
45.25172 6.03295 0.01417
33.48410 -4.03178 0.01334
35.44111 -5.99681 0.01957
38.40109 -14.10380 0.01305
31.56372 -7.68780 0.01872
31.34310 -3.86049 0.01012
34.36276 -9.02666 0.02363
35.78532 -9.92184 0.02060
35.78740 -3.90682 0.01629
33.19413 -6.39017 0.02349
44.73107 1.66447 0.01513
46.74121 -0.56623 0.02649
49.42078 -8.88066 0.02184
42.16549 -3.19849 0.01836
41.92173 2.14719 0.01884
45.88040 -4.30713 0.02625
47.24894 -4.99026 0.03076
46.86183 1.52389 0.01763
44.49692 -1.12335 0.02209
49.50350 7.85030 0.01616
47.66108 0.35796 0.02123
45.71899 -3.53608 0.02146
51.64812 9.38439 0.02378
46.86882 -2.78048 0.02673
52.50632 -7.55145 0.02276
44.23475 -1.00691 0.02178
43.59782 9.54270 0.02673
45.63035 7.84090 0.02384
49.74905 -1.86364 0.00000
41.10668 4.45463 0.04836
41.07723 9.55899 0.01476
45.04567 3.70419 0.01117
46.63076 3.07014 0.01227
45.57793 9.73366 0.02242
43.44951 6.96646 0.02007
47.44450 14.88356 0.01231
28.81122 -13.96926 0.01398
30.81490 -16.48063 0.02075
32.49709 -23.42909 0.02113
26.81879 -17.75997 0.02346
26.49036 -13.71332 0.02085
29.27839 -19.21969 0.02439
30.55205 -20.12272 0.01448
31.73376 -13.81239 0.01590
28.32649 -16.71774 0.03281
23.20388 -23.44275 0.02252
32.72046 -15.39779 0.02056
29.20677 -18.68676 0.03821
26.06095 -21.59798 0.01698
30.49471 -18.48154 0.03568
23.15583 -12.77802 0.09214
28.13334 -16.58379 0.02427
40.28914 -0.74152 0.01693
41.96086 2.24012 0.02890
36.12417 -7.32666 0.01104
39.50433 -1.83855 0.01708
39.51479 0.72811 0.01944
39.76315 2.88453 0.01640
41.72991 1.02531 0.02526
45.16046 -7.76022 0.02858
37.58410 -1.36142 0.01877
37.42675 3.05807 0.01474
40.92009 -2.50102 0.02265
42.39594 -3.28098 0.02388
41.83412 2.96864 0.01461
39.55475 0.44326 0.02260
44.72384 9.38421 0.02141
42.71844 1.95090 0.02449
40.74436 -1.76159 0.03039
41.91661 -1.07881 0.02708
32.89631 3.77583 0.01793
39.32363 0.53749 0.02405
27.81947 -12.03647 0.03445
29.85258 -14.33431 0.02858
31.95236 -21.65206 0.02471
25.90246 -15.67589 0.02617
25.62254 -11.89164 0.02082
28.37053 -17.09884 0.03273
29.71780 -18.03068 0.01759
30.67765 -11.77594 0.01834
27.37567 -14.62695 0.02224
22.21420 -21.56212 0.01542
31.74806 -13.23792 0.01954
28.28610 -16.55668 0.02980
25.11921 -19.60860 0.02840
29.59843 -16.33125 0.02885
22.57653 -11.16746 0.03080
27.18589 -14.50470 0.06534
49.04576 3.41573 0.01531
51.15449 0.95349 0.02545
53.69236 -7.60893 0.02321
45.99657 -2.31754 0.01513
45.73390 4.09167 0.02623
57.66848 12.05640 0.02449
50.31966 -3.23129 0.02239
51.68879 -3.81123 0.01156
51.22686 3.16367 0.01474
48.81418 0.28657 0.02511
53.41379 9.12074 0.01953
51.99761 1.92379 0.01933
50.14702 -2.37844 0.01462
55.64807 12.65932 0.01935
55.10795 10.18973 0.02091
51.30346 -1.43677 0.01953
56.17716 -5.66379 0.02646
48.51356 0.41087 0.01322
34.63202 -0.46530 0.02624
36.59124 -2.27617 0.04007
40.09581 -10.96081 0.02170
32.70340 -4.18849 0.04978
32.52912 -0.35977 0.02367
35.64811 -5.46732 0.02730
37.14622 -6.36028 0.02090
36.81062 -0.30184 0.02710
34.38957 -2.75382 0.02025
37.78085 -1.33929 0.03307
35.49145 -4.79880 0.02383
31.03589 -11.16307 0.02479
36.71157 -4.29413 0.03522
29.02941 0.21206 0.05781
34.18214 -2.65808 0.03494
43.87797 9.42882 0.03073
45.23666 12.86328 0.02066
48.05696 21.65934 0.01651
42.95648 10.96961 0.01874
45.16161 11.64980 0.03385
40.62798 7.86906 0.03231
40.68881 13.00407 0.02930
44.72040 7.27475 0.02576
46.42783 6.66054 0.02403
45.03685 13.46994 0.02395
43.00244 10.63217 0.03465
45.93686 12.65819 0.02916
44.45112 8.21319 0.02864
48.51376 21.28861 0.01067
48.21518 19.54942 0.02348
41.60857 23.54465 0.01473
45.60787 9.36462 0.03332
35.46867 13.07528 0.04687
42.74371 10.68313 0.02028
37.41250 -20.00769 0.01576
39.25337 -23.82329 0.02184
39.74964 -29.90921 0.02675
34.91706 -24.72800 0.02695
34.18226 -18.53280 0.01967
37.64668 -26.58733 0.02464
38.67264 -27.43357 0.02262
40.30964 -20.87299 0.02115
36.78693 -23.65932 0.02371
30.35119 -31.18687 0.03120
40.86168 -22.95309 0.01498
37.61096 -26.03560 0.02373
34.05962 -29.04007 0.02892
38.77911 -25.88927 0.02454
42.98674 -30.81047 0.02062
36.55827 -23.43982 0.02169
41.11052 14.64114 0.03729
43.14552 13.27140 0.02557
38.77368 9.56400 0.02005
38.86139 14.40795 0.02937
42.77998 8.89270 0.02037
44.60186 8.19992 0.01815
42.99082 15.02194 0.01392
41.01601 12.24185 0.02007
44.53219 19.58031 0.02401
44.94712 12.95210 0.03643
47.01899 11.35553 0.04013
42.28481 7.33536 0.02108
42.34628 12.83956 0.01841
52.30300 21.47509 0.01048
46.55638 6.86813 0.02486
48.21180 6.32802 0.03317
46.89830 13.23108 0.01540
44.82763 10.29838 0.02360
48.43309 17.98798 0.01564
47.77551 12.37899 0.03735
46.29353 7.81775 0.02536
50.21652 20.95795 0.01922
49.93650 19.23499 0.02153
43.30401 24.00605 0.01915
47.44202 9.02545 0.04498
44.55590 10.35081 0.03297
46.35432 9.22619 0.00913
41.71249 5.56556 0.01574
41.71699 10.87455 0.01507
45.81580 4.94493 0.01338
47.42141 4.36113 0.02006
46.27400 11.11445 0.01325
47.98663 16.07578 0.01571
47.14409 10.22347 0.00832
45.57370 5.84718 0.01660
49.96470 19.28045 0.02024
46.72493 6.94255 0.01648
53.75536 2.24739 0.01598
43.89771 8.34051 0.01474
41.48434 11.78644 0.01835
43.50572 10.28324 0.03003
39.15106 6.87978 0.02990
39.17501 11.66315 0.02539
43.01861 6.11349 0.02731
44.72613 5.41934 0.01849
43.40811 12.08525 0.03017
41.36249 9.35932 0.02457
45.17038 16.97384 0.01702
43.25748 13.71011 0.01188
45.30896 12.22274 0.02245
50.36198 1.55816 0.00000
40.74956 8.34728 0.00945
40.82508 13.53637 0.01772
50.77409 22.46121 0.01255
44.88954 7.79332 0.01522
46.61123 7.19160 0.01875
45.17345 14.03827 0.01527
43.14952 11.17732 0.01309
46.70868 18.69894 0.01416
46.07468 13.23692 0.02982
44.61416 8.74473 0.01240
48.54833 21.72668 0.01178
48.26856 20.03305 0.00967
41.75250 23.90789 0.01554
45.76977 9.92653 0.03505
35.56509 13.56370 0.01931
42.88918 11.22548 0.02002
35.41416 10.61019 0.01445
36.78819 13.69235 0.01709
40.40321 23.13558 0.01378
34.55426 11.97766 0.01790
34.70740 13.79363 0.01538
36.73078 12.56467 0.02761
32.78413 9.61194 0.01168
32.82723 13.53905 0.01269
36.35610 8.50947 0.01318
38.42252 7.48292 0.01400
36.58668 14.22969 0.02042
34.61535 11.69244 0.03104
38.50857 19.04806 0.01336
37.64268 13.54849 0.01226
36.04735 9.43579 0.01832
40.71579 21.07752 0.00961
33.66465 22.03121 0.00613
37.30544 10.36993 0.01008
29.68132 13.42327 0.04071
34.39881 11.74118 0.01585
40.67306 13.84329 0.02826
42.69998 12.45573 0.03085
38.38038 8.90265 0.03035
38.44790 13.63437 0.01266
42.30250 8.16738 0.01702
44.10945 7.44911 0.01657
42.56075 14.20856 0.02536
40.57208 11.46848 0.02299
44.18308 18.85951 0.01507
43.49907 13.45291 0.03019
42.01793 9.10635 0.03586
46.20573 22.10257 0.02655
45.89461 20.36578 0.01305
39.33262 23.29001 0.01395
43.19315 10.20845 0.02971
34.00590 13.59558 0.01043
40.32776 11.51617 0.04051
43.22036 12.52649 0.02880
45.26442 10.98656 0.03418
50.06161 0.59263 0.01472
40.73177 7.27461 0.02031
40.77702 12.40246 0.01192
51.01579 21.47828 0.01894
44.79704 6.65466 0.02053
46.48132 6.03797 0.02083
45.15204 12.81923 0.02071
43.10145 9.99348 0.02156
46.78077 17.61000 0.01081
46.04719 11.99060 0.01977
44.53517 7.58073 0.02259
48.71886 20.76802 0.02236
48.40183 18.98054 0.01356
41.69315 23.22071 0.01340
45.69159 8.70744 0.02383
35.50677 12.53142 0.00737
